darija,eng,eng_chatGPT,explanation_ChatGPT,evaluation_ChatGPT,eng_Claude,explanation_Claude,evaluation_Claude
jwabo 3la nabo,quick-witted,"Like father, like son",A person's behavior or characteristics resemble those of their parent.,1,He got what he deserved,Someone faced consequences matching their actions.,1
smen o 3sel,sweet,Sweet as honey,Describes a strong and harmonious relationship or something pleasant and enjoyable.,3,Sweet as honey,Describes something extremely pleasant or delightful.,3
bayna ll3wer,crystal clear,It’s obvious,"Refers to something that is clear or self-evident, similar to saying ""It’s plain as day.""",5,It's crystal clear,Something extremely obvious or transparent.,5
Darb chch3a,impressive,He told a blatant lie,Used when someone tells an obvious or shameless lie.,1,Just for show,Doing something superficially without genuine intent.,1
Tmmer,turning a blind eye,He’s working hard,"Describes someone putting in significant effort, similar to ""putting one’s shoulder to the wheel.""",1,Take it easy,Encourages someone to relax or not worry.,2
myyek,turning a blind eye,He’s a pushover,Refers to someone who is easily manipulated or influenced.,1,Whatever,Expresses indifference or lack of strong opinion.,3
ma3ndk fin t8reb,inevitable,You’ve got nowhere to hide,Means there is no escape from a situation or responsibility.,3,You have nowhere to go,Suggests someone is out of options or alternatives.,5
mataymregch,unashamed,He never learns,Describes someone who keeps repeating the same mistakes without changing.,2,No problem,Indicates everything is fine or acceptable.,1
kayDrr f rras,controversial,He’s causing a headache,Used for someone who is being very annoying or difficult.,4,It's driving me crazy,Expresses extreme frustration or annoyance.,5
sir waji,back and forth,Go and come back,A polite way to dismiss someone temporarily.,1,Go ahead,Gives permission or encouragement to proceed.,1
3llah,randomly,Leave it to God,Expresses resignation or faith in divine intervention when faced with a problem.,4,Oh my God,"An expression of surprise, frustration, or emphasis.",1
charb bloulou,mature,He’s drinking greedily,"Refers to someone drinking quickly or excessively, often in a comical way.",1,Completely drunk,Describes someone extremely intoxicated.,1
kayna lm3na,worthwhile,There’s meaning behind it,Suggests that something has depth or significance beyond what appears on the surface.,4,It makes sense,Indicates understanding or agreement with a point.,1
labas 3lih,wealthy,He’s doing well,Describes someone who is in good health or a stable situation.,3,No worries about him,Suggests everything is fine with someone.,2
fiha inna,suspicious,Something’s fishy,Used when a situation seems suspicious or questionable.,5,That's it exactly,Confirms complete agreement or understanding.,1
Tal3a lih l9rda,furious,I’ve had enough,"Expresses frustration or annoyance, similar to saying ""I’m at the end of my rope.""",4,I've lost my patience,Expresses extreme frustration or reaching a breaking point.,5
S77a w slam,safe and sound,All the best,Used to wish someone good health and well-being.,4,Absolutely right,Strongly affirms something as completely correct.,1
howa howa,unchanged,It’s the same thing,"Means there’s no difference between two things, similar to ""six of one, half a dozen of the other.""",5,"Same old, same old",Indicates nothing has changed or things remain routine.,5
hir 3llah,arbitrary,Only God knows,Expresses uncertainty or a lack of knowledge about something.,4,Only God knows,Expresses uncertainty or surrendering to fate.,4
fog chchb3a,superfluous,Over the top,Refers to something exaggerated or beyond normal limits.,1,Over the top,Describes something excessive or extreme.,1
3ndo fiddih,talented,He’s got it all figured out,Describes someone who is well-prepared or has a solution at hand.,3,He's got cash,Means someone has plenty of money or is wealthy.,1
zaz louz,nice-looking,Sweet talker,Refers to someone who uses charming or flattering words to get what they want.,2,Piece of cake,Indicates something is extremely easy to do.,1
chchan TTan,quickly,Stirring up trouble,"Describes someone creating conflict or making a situation worse, akin to ""stirring the pot.""",1,Completely useless,Describes something or someone totally worthless.,1
bi8 fi8,quickly,Neck and neck,Describes a close competition or two things being evenly matched.,1,Back and forth,Refers to going nowhere or wasting time.,1
blkheff,quickly,Quietly,Means to do something discreetly or without drawing attention.,2,Take it easy,Encourages relaxation or not getting worked up.,1
Lah i3mmerha dar,courteous,May this home always be blessed,A heartfelt wish for prosperity and happiness in someone’s home.,1,May God fill your home,A blessing wishing prosperity and happiness.,1
lah i3mmrha dar,he's a good man,May this home always be blessed,This is a variation of the same blessing for someone’s home.,1,May God bless your home,"Similar to previous, wishing someone well.",1
7bb o tben,the whole ball of wax,Love and proof,"Means actions speak louder than words, especially in relationships.",1,Head over heels,Describes being completely in love.,1
kay9r9bo nnab,chew the rag,He’s being very noisy,Refers to someone causing a loud disturbance or commotion.,1,Getting close,Indicates approaching a goal or destination.,1
9r9b nnab,chew the fat,He’s talking nonsense,Describes someone speaking in a way that lacks meaning or coherence.,1,Nearly there,"Similar to previous, suggesting proximity to completion.",1
